eval_dttm,sbdt,actual_shipped_units,forecasted_shipped_units,backlog_sbdt,risk_score_actual,risk_score_predicted
2025-12-14 06:00:00,2025-12-14 06:30:00,7232.0,6374.6543,1601,22.137721238938052,25.11508741736787
2025-12-14 06:00:00,2025-12-14 06:50:00,7232.0,6374.6543,2053,28.38772123501276,32.20566799485806
2025-12-14 06:00:00,2025-12-14 14:00:00,45355.0,43060.985425,2261,4.985117407011683,5.250692657476482
2025-12-14 06:00:00,2025-12-14 15:00:00,49268.0,46813.392925,2803,5.689291223396743,5.987602745288781
2025-12-14 06:00:00,2025-12-14 17:00:00,65193.0,60713.264624999996,2949,4.523491785858551,4.85725815959024
2025-12-14 06:00:00,2025-12-14 18:00:00,70565.0,67025.659625,4955,7.021894706908214,7.392691138958819
2025-12-14 06:00:00,2025-12-14 18:15:00,70565.0,67025.659625,5062,7.173527952849522,7.552331492514539
2025-12-14 06:00:00,2025-12-14 18:30:00,70565.0,67025.659625,5218,7.39460072263311,7.785078176203252
2025-12-14 06:00:00,2025-12-14 18:45:00,70565.0,67025.659625,5387,7.634096223231999,8.037220416866026
2025-12-14 06:00:00,2025-12-14 19:45:00,77694.0,73967.830025,5727,7.371225577169779,7.7425551053572015
2025-12-14 06:00:00,2025-12-14 20:00:00,84837.0,81030.918425,6972,8.218112380114595,8.604123136487773
2025-12-14 06:00:00,2025-12-14 20:45:00,84837.0,81030.918425,7098,8.36663248336968,8.759619337749601
2025-12-14 06:00:00,2025-12-14 23:00:00,102899.0,98097.70452500001,7266,7.061293112595251,7.40690114524974
2025-12-14 06:00:00,2025-12-14 23:40:00,102899.0,98097.70452500001,8765,8.518061399930826,8.934969520797408
2025-12-14 06:00:00,2025-12-15 00:15:00,108391.0,103187.06252500002,8987,8.291278796133524,8.709425174047908
2025-12-14 06:00:00,2025-12-15 00:30:00,108391.0,103187.06252500002,9079,8.376156691898995,8.798583638052849
2025-12-14 06:00:00,2025-12-15 00:45:00,108391.0,103187.06252500002,9197,8.485021819076445,8.912939059276578
2025-12-14 06:00:00,2025-12-15 02:00:00,120342.0,113570.56392500001,9344,7.764537734059892,8.227484021377528
2025-12-14 06:00:00,2025-12-15 03:30:00,128644.0,118830.384925,9550,7.4235875749555085,8.036665038110524
2025-12-14 06:00:00,2025-12-15 04:30:00,137034.0,125760.70392500001,10414,7.599573828337496,8.280806066518041
2025-12-14 06:00:00,2025-12-15 06:30:00,151895.0,136862.328225,10835,7.133217024871567,7.9167146580381305
2025-12-14 06:00:00,2025-12-15 06:50:00,151895.0,136862.328225,11787,7.7599657657739884,8.612304169293534
2025-12-14 07:00:00,2025-12-14 06:30:00,0.0,0.0,1261,100.0,100.0
2025-12-14 07:00:00,2025-12-14 06:50:00,0.0,0.0,1539,100.0,100.0
2025-12-14 07:00:00,2025-12-14 14:00:00,38123.0,36686.331125000004,1690,4.433019436968942,4.606620362760338
2025-12-14 07:00:00,2025-12-14 15:00:00,42036.0,40438.738625000005,2152,5.119421448160638,5.321629885399976
2025-12-14 07:00:00,2025-12-14 17:00:00,57961.0,54338.610325,2263,3.9043494763046818,4.164626195670663
2025-12-14 07:00:00,2025-12-14 18:00:00,63333.0,60651.005325000006,4109,6.487928883733789,6.774825871251544
2025-12-14 07:00:00,2025-12-14 18:15:00,63333.0,60651.005325000006,4233,6.683719387891246,6.979274254808416
2025-12-14 07:00:00,2025-12-14 18:30:00,63333.0,60651.005325000006,4368,6.8968784045142835,7.201859188519529
2025-12-14 07:00:00,2025-12-14 18:45:00,63333.0,60651.005325000006,4465,7.0500371053471325,7.361790585334179
2025-12-14 07:00:00,2025-12-14 19:45:00,70462.0,67593.17572500001,4742,6.729868581551335,7.015501119850431
2025-12-14 07:00:00,2025-12-14 20:00:00,77605.0,74656.264125,5663,7.2972102312055,7.585431800394346
2025-12-14 07:00:00,2025-12-14 20:45:00,77605.0,74656.264125,5756,7.417047870531319,7.710002727012159
2025-12-14 07:00:00,2025-12-14 23:00:00,95667.0,91723.050225,5865,6.130640659724559,6.394248758135494
2025-12-14 07:00:00,2025-12-14 23:40:00,95667.0,91723.050225,7156,7.480113309631534,7.801746651870007
2025-12-14 07:00:00,2025-12-15 00:15:00,101159.0,96812.40822499999,7304,7.220316531329686,7.544487461720258
2025-12-14 07:00:00,2025-12-15 00:30:00,101159.0,96812.40822499999,7359,7.274686384728253,7.601298361281404
2025-12-14 07:00:00,2025-12-15 00:45:00,101159.0,96812.40822499999,7468,7.3824375487363225,7.713887234957131
2025-12-14 07:00:00,2025-12-15 02:00:00,113110.0,107195.90962499999,7572,6.694368313971405,7.063702361795565
2025-12-14 07:00:00,2025-12-15 03:30:00,121412.0,112455.73062499998,7697,6.3395710472907165,6.844471115125581
2025-12-14 07:00:00,2025-12-15 04:30:00,129802.0,119386.04962499999,8156,6.283416280132175,6.831618958454741
2025-12-14 07:00:00,2025-12-15 06:30:00,144663.0,130487.67392500001,8498,5.874342437210107,6.512492516970794
2025-12-14 07:00:00,2025-12-15 06:50:00,144663.0,130487.67392500001,9311,6.436338248159955,7.1355398712067615
2025-12-14 08:00:00,2025-12-14 06:30:00,0.0,0.0,1073,100.0,100.0
2025-12-14 08:00:00,2025-12-14 06:50:00,0.0,0.0,1318,100.0,100.0
2025-12-14 08:00:00,2025-12-14 14:00:00,30705.0,30086.324125,1430,4.657221950670666,4.752990076192866
2025-12-14 08:00:00,2025-12-14 15:00:00,34618.0,33838.731625,1853,5.352706684229225,5.47597356922281
2025-12-14 08:00:00,2025-12-14 17:00:00,50543.0,47738.603325000004,1961,3.8798646696104333,4.107786703788997
2025-12-14 08:00:00,2025-12-14 18:00:00,55915.0,54050.99832500001,3677,6.5760529373768035,6.8028345708302345
2025-12-14 08:00:00,2025-12-14 18:15:00,55915.0,54050.99832500001,3766,6.735223106380484,6.96749387918049
2025-12-14 08:00:00,2025-12-14 18:30:00,55915.0,54050.99832500001,3881,6.940892425879623,7.18025590682408
2025-12-14 08:00:00,2025-12-14 18:45:00,55915.0,54050.99832500001,3950,7.064294017579106,7.307913123410233
2025-12-14 08:00:00,2025-12-14 19:45:00,63044.0,60993.16872500001,4150,6.582704143033712,6.804040660099282
2025-12-14 08:00:00,2025-12-14 20:00:00,70187.0,68056.257125,4909,6.99417270994637,7.213150130944508
2025-12-14 08:00:00,2025-12-14 20:45:00,70187.0,68056.257125,5005,7.1309501758569125,7.354209901278725
2025-12-14 08:00:00,2025-12-14 23:00:00,88249.0,85123.043225,5085,5.762104952965336,5.973705599903689
2025-12-14 08:00:00,2025-12-14 23:40:00,88249.0,85123.043225,6325,7.167220025074877,7.430420436458375
2025-12-14 08:00:00,2025-12-15 00:15:00,93741.0,90212.40122500001,6448,6.878527005185794,7.147576067559135
2025-12-14 08:00:00,2025-12-15 00:30:00,93741.0,90212.40122500001,6505,6.939332842545532,7.210760285277943
2025-12-14 08:00:00,2025-12-15 00:45:00,93741.0,90212.40122500001,6607,7.048143288347168,7.323826780143177
2025-12-14 08:00:00,2025-12-15 02:00:00,105692.0,100595.902625,6695,6.334443477213655,6.655340650295643
2025-12-14 08:00:00,2025-12-15 03:30:00,113994.0,105855.723625,6801,5.966103479078144,6.424782493602979
2025-12-14 08:00:00,2025-12-15 04:30:00,122384.0,112786.042625,7150,5.842266962953962,6.3394368962031
2025-12-14 08:00:00,2025-12-15 06:30:00,137245.0,123887.666925,7438,5.4195052642688655,6.003826034146589
2025-12-14 08:00:00,2025-12-15 06:50:00,137245.0,123887.666925,8138,5.929542059776826,6.568854028755705
2025-12-14 09:00:00,2025-12-14 06:30:00,0.0,0.0,1073,100.0,100.0
